area,subarea,colorr,colorg,colorb,bmp_minx,bmp_minz,bmp_maxx,bmp_maxz,minx,minz,maxx,maxz,convex
int,int,int,int,int,float,float,float,float,float,float,float,float,string
0,0,0,0,64,-129.6771,-130.6888,128.3571,130.6411,-16.6932,70.14676,-9.280386,76.32825,{911.5001|436.536};{908.1045|438.4527};{905.0952|441.133};{904.9906|442.0171};{904.1478|455.0257};{906.4088|459.6934};{911.5324|466.6387};{915.1062|468.2573};{915.5463|468.4274};{935.7877|463.4761};{944.2792|457.587};{945.1333|456.8322};{947.889|454.1537};{947.9735|453.6136};{948.0288|440.9258};{947.577|440.1853};{937.7672|433.7541};{936.2347|432.9589};{935.3327|432.6869};{923.9128|431.8917};
0,1,0,0,64,-129.6771,-130.6888,128.3571,130.6411,-20.46963,68.93745,-13.10597,75.30756,{880.848|446.0199};{876.5143|448.5414};{873.7435|451.3483};{873.6691|452.2446};{874.215|465.0146};{877.0757|469.4143};{882.384|476.1482};{886.117|477.5394};{886.5894|477.6758};{907.0366|471.4196};{914.5546|465.329};{915.3799|464.5226};{918.4315|461.5169};{918.4987|460.9677};{917.3861|448.4798};{916.8962|447.7641};{907.0181|441.7673};{905.2072|441.152};{904.2509|440.946};{893.2407|440.6004};
0,2,0,0,64,-129.6771,-130.6888,128.3571,130.6411,-23.85177,66.65253,-16.7432,73.98756,{865.9341|453.8001};{858.28|457.3863};{849.5908|467.7977};{846.0547|472.8798};{844.9584|476.4958};{845.287|477.3433};{852.1562|487.859};{864.5974|494.1003};{868.5963|493.6572};{869.0956|493.5528};{884.7327|478.6839};{888.0766|470.6006};{890.1392|465.1072};{889.9578|464.5778};{882.8817|454.3717};{882.1229|453.9442};{873.014|452.2093};{871.9631|452.1438};
1,0,0,0,128,-129.6771,-130.6888,128.3571,130.6411,112.2784,-5.853124,116.6283,-0.153522,{1936.301|1024.36};{1928.291|1028.009};{1927.457|1028.614};{1924.026|1033.744};{1920.662|1041.674};{1921.073|1055.096};{1921.804|1062.029};{1923.392|1065.312};{1924.205|1065.744};{1936.389|1068.52};{1949.004|1065.761};{1950.007|1065.155};{1952.625|1062.128};{1952.931|1061.712};{1954.773|1040.36};{1951.417|1030.96};{1951.234|1030.453};{1949.78|1027.078};{1949.29|1026.792};{1937.157|1024.194};
1,1,0,0,128,-129.6771,-130.6888,128.3571,130.6411,112.0068,-14.30847,116.3911,-7.964718,{1932.023|1089.679};{1926.201|1091.302};{1925.37|1091.782};{1921.966|1096.507};{1918.63|1104.787};{1919.106|1117.237};{1919.845|1126.317};{1921.453|1128.932};{1922.268|1129.362};{1935.191|1131.217};{1947.069|1129.095};{1948.068|1128.552};{1949.323|1127.302};{1949.876|1126.526};{1950.998|1123.143};{1952.738|1103.035};{1949.156|1093.36};{1947.669|1091.952};{1947.178|1091.667};{1938.035|1088.266};
1,2,0,0,128,-129.6771,-130.6888,128.3571,130.6411,112.0784,-10.35755,116.4283,-4.015091,{1932.518|1058.717};{1926.703|1060.307};{1925.869|1060.787};{1922.439|1065.508};{1919.074|1073.778};{1919.485|1086.251};{1920.216|1095.308};{1921.805|1097.939};{1922.617|1098.373};{1935.536|1100.269};{1947.417|1098.194};{1948.419|1097.653};{1949.688|1096.397};{1950.245|1095.622};{1951.344|1092.278};{1951.459|1091.256};{1953.185|1072.146};{1949.646|1062.449};{1948.193|1061.008};{1947.703|1060.72};{1938.521|1057.339};
2,0,0,0,192,-129.6771,-130.6888,128.3571,130.6411,82.92112,-47.59062,89.35662,-40.71368,{1706.578|1347.79};{1705.83|1348.224};{1697.281|1354.68};{1696.636|1355.534};{1695.03|1361.508};{1695.083|1369.983};{1699.598|1382.587};{1706.587|1391.222};{1707.492|1391.367};{1717.962|1390.381};{1730.133|1383.454};{1730.885|1382.554};{1731.843|1380.32};{1732.107|1379.326};{1731.435|1375.365};{1727.471|1363.077};{1725.703|1357.851};{1723.467|1353.273};{1722.465|1351.333};{1721.744|1350.476};{1717.958|1346.679};{1717.403|1346.568};
2,1,0,0,192,-129.6771,-130.6888,128.3571,130.6411,85.72887,-46.38507,91.62933,-39.83624,{1729.895|1338.923};{1720.635|1344.534};{1719.889|1345.307};{1717.548|1351.039};{1716.531|1359.374};{1719.441|1372.478};{1725.276|1381.736};{1726.156|1381.993};{1736.705|1382.573};{1749.636|1377.078};{1750.495|1376.278};{1751.719|1374.136};{1752.105|1373.18};{1751.943|1369.235};{1749.548|1356.573};{1748.464|1351.319};{1746.793|1346.298};{1746.034|1344.201};{1745.425|1343.255};{1742.152|1339.098};{1741.615|1338.918};{1730.693|1338.587};
2,2,0,0,192,-129.6771,-130.6888,128.3571,130.6411,79.80195,-48.76415,86.77923,-41.62899,{1680.805|1357.464};{1680.135|1358.011};{1672.624|1365.394};{1672.12|1366.33};{1671.473|1372.473};{1672.885|1380.927};{1679.312|1392.613};{1685.109|1398.032};{1687.627|1400.258};{1688.542|1400.257};{1698.636|1397.329};{1709.604|1388.752};{1710.204|1387.745};{1710.814|1385.447};{1710.918|1384.426};{1709.609|1380.537};{1703.757|1369.004};{1701.139|1363.939};{1698.279|1360.017};{1697|1358.318};{1696.156|1357.594};{1691.795|1354.34};{1691.23|1354.318};
