area,subarea,colorr,colorg,colorb,bmp_minx,bmp_minz,bmp_maxx,bmp_maxz,minx,minz,maxx,maxz,convex
int,int,int,int,int,float,float,float,float,float,float,float,float,string
0,0,0,0,64,-159.3818,-159.0427,159.3818,159.0427,116.8133,18.43176,122.8667,20.82824,{1774.505|889.8458};{1774.86|904.3267};{1813.397|903.3779};{1813.042|888.897};
0,1,0,0,64,-159.3818,-159.0427,159.3818,159.0427,121.6191,99.97655,128.3809,105.5435,{1805.381|371.7179};{1843.18|379.2989};{1848.824|351.0373};{1811.025|343.4562};
0,2,0,0,64,-159.3818,-159.0427,159.3818,159.0427,-4.701699,-125.7992,2.621699,-119.2208,{993.7924|1806.822};{1005.856|1832.961};{1040.844|1816.744};{1028.78|1790.606};
0,3,0,0,64,-159.3818,-159.0427,159.3818,159.0427,51.97052,-128.4792,65.74948,-116.4208,{1357.901|1818.325};{1379.658|1850.216};{1446.429|1804.469};{1424.672|1772.578};
0,4,0,0,64,-159.3818,-159.0427,159.3818,159.0427,62.23751,-122.6333,74.94247,-116.3867,{1423.865|1810.982};{1504.734|1812.577};{1505.492|1773.953};{1424.624|1772.358};
0,5,0,0,64,-159.3818,-159.0427,159.3818,159.0427,-144.8249,-142.9249,-122.5751,-120.6751,{93.52589|1827.286};{209.2184|1943.225};{236.4766|1915.908};{120.7841|1799.969};
0,6,0,0,64,-159.3818,-159.0427,159.3818,159.0427,-127.1243,-144.5843,-109.6957,-127.1557,{207.2489|1926.593};{234.507|1953.909};{319.2246|1869.011};{291.9665|1841.695};
0,7,0,0,64,-159.3818,-159.0427,159.3818,159.0427,-113.9263,-132.2882,-104.9337,-123.4918,{292.0438|1843.009};{314.0305|1874.74};{349.8195|1849.836};{327.8328|1818.105};
0,8,0,0,64,-159.3818,-159.0427,159.3818,159.0427,-108.3452,-129.3045,-100.1148,-121.5955,{327.9014|1818.559};{339.0819|1855.53};{380.78|1842.866};{369.5996|1805.895};
0,9,0,0,64,-159.3818,-159.0427,159.3818,159.0427,-101.8908,-127.52,-95.10916,-121.52,{369.3694|1844.04};{412.9405|1844.04};{412.9405|1805.409};{369.3694|1805.409};
