area,subarea,colorr,colorg,colorb,bmp_minx,bmp_minz,bmp_maxx,bmp_maxz,minx,minz,maxx,maxz,convex
int,int,int,int,int,float,float,float,float,float,float,float,float,string
0,0,0,0,64,-37.89682,-50.25329,49.22455,37.20663,-12.71906,17.1666,-5.569098,24.18369,{677.9261|331.122};{653.4341|339.1696};{623.8397|366.391};{609.5638|381.6052};{605.2148|391.577};{605.8154|394.2336};{623.2001|426.8087};{653.9521|449.4976};{657.2717|450.542};{669.2126|450.4412};{670.7484|450.3081};{722.6734|412.5612};{737.4373|386.6668};{738.2294|385.2659};{743.0491|375.4122};{742.745|373.7613};{725.0552|341.6494};{723.0165|340.068};{699.1956|329.3795};{696.2053|328.7074};
0,1,0,0,64,-37.89682,-50.25329,49.22455,37.20663,-16.10311,14.11517,-9.042954,21.24681,{591.3758|401.3364};{567.8939|411.9595};{541.408|442.1916};{528.8563|458.846};{525.6083|469.2257};{526.4921|471.8026};{547.2907|502.3279};{580.3127|521.593};{583.7258|522.2759};{595.5866|520.8974};{597.0991|520.6006};{644.6506|477.5132};{656.5352|450.1881};{657.1715|448.7106};{660.9001|438.3979};{660.4197|436.7891};{639.3676|406.7571};{637.1702|405.4032};{612.334|397.3269};{609.2886|396.9788};
0,2,0,0,64,-37.89682,-50.25329,49.22455,37.20663,-9.169135,19.73461,-2.017714,26.52273,{768.1212|274.3271};{742.8257|279.3341};{710.1146|302.7503};{694.0798|316.1133};{688.5404|325.4812};{688.8108|328.191};{702.0703|362.6377};{729.8096|388.8988};{732.9763|390.3393};{744.8401|391.6924};{746.3807|391.7472};{802.5459|360.6016};{820.3748|336.6978};{821.3328|335.4038};{827.3248|326.2103};{827.2255|324.5348};{813.6062|290.5107};{811.7768|288.6932};{789.4451|275.186};{786.5596|274.1551};
1,0,0,0,128,-37.89682,-50.25329,49.22455,37.20663,-21.93029,8.158471,-14.8048,15.22888,{458.8405|541.3997};{434.7003|550.4411};{406.2517|578.8487};{392.6142|594.6332};{388.6794|604.7744};{389.389|607.4043};{408.1001|639.2418};{439.7605|660.6551};{443.1204|661.563};{455.0471|660.9745};{456.576|660.7788};{506.9032|620.9421};{520.5885|594.4664};{521.3223|593.0343};{525.7322|582.9919};{525.3604|581.3548};{506.3633|549.9926};{504.2612|548.4959};{480.0203|538.7897};{477.0048|538.2403};
1,1,0,0,128,-37.89682,-50.25329,49.22455,37.20663,-27.34128,1.842704,-20.61236,8.981272,{330.355|682.7378};{313.5132|690.2157};{292.3166|704.8501};{271.6843|739.3126};{262.3244|757.9343};{260.992|768.7252};{262.3242|771.1031};{288.2669|797.4319};{324.2148|810.5048};{327.6955|810.5687};{339.1178|807.0998};{340.5527|806.5385};{379.6035|755.6757};{386.3915|726.6741};{386.7524|725.1071};{388.5697|714.2964};{387.8083|712.7992};{361.7047|687.0009};{359.2996|686.0602};{333.4139|682.5378};
1,2,0,0,128,-37.89682,-50.25329,49.22455,37.20663,-24.92384,5.065003,-17.99598,12.22889,{377.6976|613.4282};{355.2307|626.0427};{331.4808|658.4521};{320.4286|676.1295};{318.098|686.751};{319.2031|689.2417};{342.5847|717.8522};{377.1615|734.1875};{380.6212|734.5726};{392.3171|732.1731};{393.7981|731.7466};{437.4131|684.7079};{446.8702|656.4579};{447.3753|654.931};{450.1907|644.3347};{449.5717|642.7735};{425.9807|614.6763};{423.6736|613.5176};{398.2271|607.6205};{395.1627|607.5373};
2,0,0,0,192,-37.89682,-50.25329,49.22455,37.20663,-1.243536,-24.45731,5.670045,-17.05911,{944.2604|1285.707};{911.7194|1300.462};{909.2224|1302.069};{882.8975|1325.739};{881.3463|1328.821};{880.6526|1334.969};{880.6047|1337.953};{881.7668|1344.132};{884.5084|1350.2};{911.2775|1399.939};{934.93|1418.115};{936.2338|1419.114};{943.4439|1423.424};{945.1334|1423.361};{977.8662|1408.823};{979.7452|1407.054};{996.8975|1388.108};{998.0952|1385.358};{998.5371|1367.258};{993.4173|1341.444};{971.1619|1309.064};{955.6983|1290.611};{946.9934|1285.495};
2,1,0,0,192,-37.89682,-50.25329,49.22455,37.20663,-2.271,-20.21568,3.862539,-13.14405,{893.0405|1198.752};{889.5942|1200.252};{858.5804|1216.963};{856.3326|1219.606};{854.0587|1225.541};{853.2898|1228.445};{853.6456|1234.163};{854.33|1241.151};{868.877|1295.546};{887.5208|1318.798};{888.5552|1320.072};{894.0425|1326.361};{895.6985|1326.697};{930.482|1320.61};{932.7299|1319.328};{954.6805|1304.269};{956.5224|1301.853};{961.3107|1284.293};{962.3156|1258.095};{948.5557|1221.223};{937.3205|1200.124};{930.2378|1192.973};{927.5331|1192.537};
2,2,0,0,192,-37.89682,-50.25329,49.22455,37.20663,-9.399244,-15.64603,-2.956131,-10.25221,{710.0912|1130.751};{690.1419|1136.98};{681.4238|1143.521};{680.632|1146.128};{679.6403|1183.007};{695.1714|1217.847};{697.5431|1220.385};{707.9827|1226.16};{709.3848|1226.798};{773.2416|1219.448};{798.9001|1204.166};{800.2824|1203.336};{809.3516|1197.129};{809.9039|1195.543};{810.4007|1158.917};{809.4094|1156.541};{793.9714|1135.545};{791.7021|1133.492};{774.6027|1126.619};{749.3102|1121.596};
2,3,0,0,192,-37.89682,-50.25329,49.22455,37.20663,-5.576904,-16.96546,1.547446,-10.34955,{810.6785|1127.55};{787.1045|1156.093};{776.0796|1192.114};{776.2678|1195.56};{781.3649|1207.349};{782.0483|1208.741};{835.8069|1243.433};{867.0113|1248.225};{877.3074|1248.555};{878.7517|1247.688};{901.9997|1219.235};{902.7643|1216.782};{905.4335|1191.901};{905.0356|1188.916};{896.334|1172.849};{879.8215|1152.71};{843.905|1135.047};{823.6709|1126.352};{812.9624|1126.05};
3,0,0,64,0,-37.89682,-50.25329,49.22455,37.20663,16.99368,-3.530566,23.71099,2.149333,{1322.456|832.9789};{1320.657|835.0271};{1306.611|870.1062};{1304.867|906.4659};{1305.957|909.6935};{1314.921|920.8611};{1315.966|922.0291};{1376.802|940.4457};{1408.161|936.6664};{1417.356|933.0799};{1418.516|931.8629};{1432.532|897.3214};{1432.616|894.7751};{1429.839|872.0839};{1428.697|869.3918};{1416.101|856.4771};{1394.525|841.2562};{1332.6|830.0362};
